JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2458752.60677,14.008,0.113,,V,HMB,,000-BKX-566,000-BKX-561,X24744BN,STANDARD MAG: C = 11.108  K = 11.502,0,1.61,Z,19.151,19.514,,V3890 SGR,VVS,STD,,,,
2458752.60687,13.910,0.100,,V,HMB,,000-BKX-566,000-BKX-561,X24744BN,STANDARD MAG: C = 11.108  K = 11.502,0,1.62,Z,19.132,19.553,,V3890 SGR,VVS,STD,,,,
2458752.60698,11.835,0.103,,I,HMB,,000-BKX-566,000-BKX-561,X24744BN,STANDARD MAG: C = 10.156  K = 10.533,0,1.62,Z,20.307,20.689,,V3890 SGR,VVS,STD,,,,
2458752.60707,11.925,0.106,,I,HMB,,000-BKX-566,000-BKX-561,X24744BN,STANDARD MAG: C = 10.156  K = 10.533,0,1.62,Z,20.279,20.717,,V3890 SGR,VVS,STD,,,,
2458752.60722,12.415,0.056,,R,HMB,,000-BKX-566,000-BKX-561,X24744BN,STANDARD MAG: C = 10.616  K = 11.001,0,1.62,Z,19.416,19.829,,V3890 SGR,VVS,STD,,,,
2458752.60730,12.352,0.049,,R,HMB,,000-BKX-566,000-BKX-561,X24744BN,STANDARD MAG: C = 10.616  K = 11.001,0,1.62,Z,19.381,19.777,,V3890 SGR,VVS,STD,,,,
2458752.87719,13.933,0.028,,V,MGW,,117-000-BKQ-440,120-000-BKQ-441,X24745GK,T50 - SIDING SPRING,0,1.025,Z,11.293,11.568,,V3890 SGR,AAVSO,STD,,,,
2458752.87764,11.841,0.024,,I,MGW,,117-000-BKQ-440,120-000-BKQ-441,X24745GK,T50 - SIDING SPRING,0,1.026,Z,11.515,11.449,,V3890 SGR,AAVSO,STD,,,,
2458752.87810,14.564,0.055,,B,MGW,,117-000-BKQ-440,120-000-BKQ-441,X24745GK,T50 - SIDING SPRING,0,1.026,Z,12.038,12.568,,V3890 SGR,AAVSO,STD,,,,
2458752.9717,14.744,0.283,,B,MRV,,ENSEMBLE,,APASS DR9,AAVSONET BSM BERRY; OUTBURST,1,1.029,Z,,,,V3890 SGR,AAVSO,STD,25,,,
2458752.9747,14.013,0.145,,V,MRV,,ENSEMBLE,,APASS DR9,AAVSONET BSM BERRY; OUTBURST,1,1.033,Z,,,,V3890 SGR,AAVSO,STD,25,,,
2458752.9770,12.001,0.051,,I,MRV,,ENSEMBLE,,APASS DR9,AAVSONET BSM BERRY; OUTBURST,1,1.035,Z,,,,V3890 SGR,AAVSO,STD,25,,,
2458752.9788,12.478,0.031,,R,MRV,,ENSEMBLE,,APASS DR9,AAVSONET BSM BERRY; OUTBURST,1,1.038,Z,,,,V3890 SGR,AAVSO,STD,25,,,
