JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2455795.77083,<12.0,,,Vis.,LMK,B,113,,sky-map.org,,,,Z,,,,V745 SCO,AAVSO,STD,,,,
2455795.92778,<11.3,,,Vis.,MTH,,11.3,,2394jau,,,,Z,,,,V745 SCO,AAVSO,STD,,,,
2455796.0639,<14.8,,,Vis.,SRX,,NA,,NA,,,,Z,,,,V745 SCO,RASNZ-VSS,STD,,,,
2455796.80556,<12.0,,,Vis.,LMK,B,113,,sky-map.org,,,,Z,,,,V745 SCO,AAVSO,STD,,,,
2455796.92917,<11.3,,,Vis.,MTH,,11.3,,2394jau,,,,Z,,,,V745 SCO,AAVSO,STD,,,,
2455797.0729,<14.8,,,Vis.,SRX,,NA,,NA,,,,Z,,,,V745 SCO,RASNZ-VSS,STD,,,,
2455797.08333,<12.0,,,TG,KBJ,,120,,2132aen,""" Unfiltered DSLR, vis est """,,,Z,,,,V745 SCO,,STD,,,,
2455797.92569,<11.3,,,Vis.,MTH,,11.3,,2394jau,,,,Z,,,,V745 SCO,AAVSO,STD,,,,
2455798.0125,<14.8,,,Vis.,SRX,,NA,,NA,,,,Z,,,,V745 SCO,RASNZ-VSS,STD,,,,
2455798.92639,<11.3,,,Vis.,MTH,,11.3,,2394jau,,,,Z,,,,V745 SCO,AAVSO,STD,,,,
2455798.934,<13.0,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V745 SCO,VSS,STD,,,,
2455799.0465,<14.6,,,Vis.,SRX,,NA,,NA,,,,Z,,,,V745 SCO,RASNZ-VSS,STD,,,,
2455799.92778,<11.3,,,Vis.,MTH,,11.3,,2394jau,,,,Z,,,,V745 SCO,AAVSO,STD,,,,
2455800.80208,<13.8,,,Vis.,LMK,K,13.8,,sky-map.org,,,,Z,,,,V745 SCO,AAVSO,STD,,,,
2455801.0090,<14.8,,,Vis.,SRX,,NA,,NA,,,,Z,,,,V745 SCO,RASNZ-VSS,STD,,,,
2455801.78403,<14.5,,,Vis.,LMK,K,14.21,,sky-map.org,,,,Z,,,,V745 SCO,AAVSO,STD,,,,
2455801.92569,<11.3,,,Vis.,MTH,,11.3,,2394jau,,,,Z,,,,V745 SCO,AAVSO,STD,,,,
2455802.13194,<12.0,,,TG,KBJ,,120,,2132aen,""" Unfiltered DSLR, vis est """,,,Z,,,,V745 SCO,,STD,,,,
2455802.92569,<11.3,,,Vis.,MTH,,11.3,,2394jau,,,,Z,,,,V745 SCO,AAVSO,STD,,,,
