JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2427307.6,7.5,,,Vis.,CLE,C,,,,,,,V,,,,RS OPH,,STD,,,,
2427307.6,7.1,,,Vis.,ELC,,,,,,,,V,,,,RS OPH,,STD,,,,
2427307.6,7.6,,,Vis.,J,,,,,,,,V,,,,RS OPH,,STD,,,,
2427307.6,7.4,,,Vis.,MG,,,,,,,,V,,,,RS OPH,,STD,,,,
2427307.6,7.5,,,Vis.,MZD,C,,,,,,,V,,,,RS OPH,,STD,,,,
2427307.7,7.1,,,Vis.,BC,,,,,,,,V,,,,RS OPH,,STD,,,,
2427307.7,7.8,,,Vis.,BDB,,,,,,,,V,,,,RS OPH,,STD,,,,
2427307.7,7.1,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2427307.74,7.4,,,Vis.,BR,,,,,,,,V,,,,RS OPH,,STD,,,,
2427308.43,7.7,,,Vis.,LT,,NA,,NA,L1 RS 1M,,,Z,,,,RS OPH,AAVSO,STD,,1933GazA...20..135D,BBI,
2427308.6,7.2,,,Vis.,ELC,,,,,,,,V,,,,RS OPH,,STD,,,,
2427308.6,7.5,,,Vis.,MG,,,,,,,,V,,,,RS OPH,,STD,,,,
2427308.7,7.5,,,Vis.,BDB,,,,,,,,V,,,,RS OPH,,STD,,,,
2427308.7,7.0,,,Vis.,P,,,,,,,,V,,,,RS OPH,,STD,,,,
2427308.73,7.6,,,Vis.,BR,,,,,,,,V,,,,RS OPH,,STD,,,,
2427309.0,7.5,,,Vis.,K,,,,,,,,V,,,,RS OPH,,STD,,,,
